Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Fleurs d'Ombre Bergamote Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Amalfi Lemon, Bergamot and Bitter Orange","Rosemary, Clove, Jasmine and Heliotrope","Oakmoss, Patchouli, Amber and Tonka Bean","['citrus', 'aromatic', 'fresh spicy', 'woody', 'warm spicy', 'earthy', 'mossy', 'amber', 'patchouli']",Fall,Day
Fleurs d'Ombre Héliotrope Jean Charles Brosseaufor women and men,Jean Charles Brosseau,for women and men,"Grapefruit, Violet, Mandarin Orange and Mimosa","Heliotrope, Iris, Rose and Gardenia","White Musk, Sandalwood and Amber","['powdery', 'violet', 'citrus', 'floral', 'vanilla', 'iris', 'almond', 'woody']",Spring,Night
Fleurs d'Ombre Jasmin Lilas Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Melon, Green Leaves and Pineapple","Lilac, Jasmine, Lily-of-the-Valley and Orange Blossom","White Musk, Peach and Nectarine","['white floral', 'fresh', 'floral', 'green', 'sweet', 'fruity', 'ozonic']",All Season,Any
Fleurs d'Ombre Nymphea Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,Bergamot and Pink Pepper,"Wisteria, Water Lily and Jasmine","White Musk, Raspberry and Sandalwood","['floral', 'fresh', 'musky', 'citrus', 'white floral', 'fresh spicy', 'powdery', 'fruity', 'sweet', 'aquatic']",All Season,Day
Fleurs d'Ombre Ombre Bleue Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Carnation, Lily-of-the-Valley and Orange Blossom","Lily, Honey, Egyptian Jasmine, Dried Fruits, May Rose and Hawthorn","Sea Notes, Sand, Amber, Benzoin, Vanilla, Musk and Cedar","['white floral', 'floral', 'marine', 'sand', 'sweet', 'aromatic', 'honey', 'amber', 'warm spicy', 'rose']",Spring,Night
Fleurs d'Ombre Rose Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Rhubarb, Tangerine, Apple, Black Currant, Melon, Grapefruit, Orange and Bergamot","Rose, Peach, Freesia, Mango and Jasmine","Orris Root, Musk, Sandalwood, Vetiver and Amber","['fruity', 'rose', 'floral', 'sweet', 'citrus', 'powdery', 'green', 'woody', 'aromatic', 'iris']",Spring,Night
Fleurs d'Ombre Thé Poudré Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Heliotrope, Mimosa and Bergamot","Orris, Earl Grey Tea and Carnation","White Musk, Virginian Cedar, Sandalwood and Tonka Bean","['powdery', 'woody', 'floral', 'vanilla', 'iris', 'musky', 'warm spicy', 'yellow floral', 'green', 'aromatic']",Spring,Any
Fleurs d'Ombre Violette - Menthe Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,Mint and Melon,"Parma Violet, White Lily, Rose and Ylang-Ylang","Sandalwood, Orris Root, Oakmoss, Coconut and Strawberry","['powdery', 'violet', 'woody', 'green', 'aromatic', 'floral', 'earthy', 'fresh spicy', 'iris', 'fresh']",Spring,Day
Fruit de Bois Jean Charles Brosseaufor men,Jean Charles Brosseau,for men,Bergamot and Grapefruit,"Clary Sage, Geranium, Juniper and Nutmeg","Vetiver, Sandalwood, Virginia Cedar and Amber","['aromatic', 'woody', 'citrus', 'fresh spicy', 'amber', 'powdery', 'soft spicy']",All Season,Day
Ombre Azurite Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Pear, Pink Pepper and Bergamot","Water Jasmine, Water Lily and Peach","Cedar, Tonka Bean, Sandalwood and Orris","['woody', 'white floral', 'sweet', 'powdery', 'floral', 'aquatic', 'aromatic', 'citrus', 'vanilla', 'fresh']",Summer,Day
Ombre Bleue L'Original Jean Charles Brosseaufor women and men,Jean Charles Brosseau,for women and men,Carnation and Orange Blossom,"Lily, May Rose, Lily-of-the-Valley and Jasmine","Sea Notes, Cedar, Styrax, Sand, Benzoin, Balsamic Notes, Honey and Dried Fruits","['white floral', 'floral', 'amber', 'marine', 'aromatic', 'woody', 'warm spicy', 'rose', 'sand', 'salty']",Spring,Any
Ombre Orientale Jean Charles Brosseaufor women and men,Jean Charles Brosseau,for women and men,Saffron,Pink Pepper,"Agarwood (Oud), Patchouli, Amber and Sandalwood","['warm spicy', 'oud', 'woody', 'soft spicy', 'patchouli', 'amber', 'metallic', 'leather', 'earthy', 'tobacco']",Fall,Night
Ombre Platine Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Red Apple, Pink Pepper, Black Currant and Bergamot","Milk, Coconut, Tuberose, plum and Lily","Vanille, Peru Balsam, Sandalwood and Virginia Cedar","['lactonic', 'fruity', 'sweet', 'vanilla', 'woody', 'coconut', 'white floral', 'balsamic', 'tuberose', 'soft spicy']",Spring,Night
Ombre Rose Edition d'Exception Eau de Parfum Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Honey, Palisander Rosewood, Peach and Ylang-Ylang","Iris, Rose and Lily-of-the-Valley","Musk, Vanilla, Coumarin and Sandalwood","['powdery', 'woody', 'sweet', 'vanilla', 'iris', 'honey', 'musky', 'rose', 'balsamic', 'floral']",Spring,Night
Ombre Rose L'Original Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Aldehydes, Brazilian Rosewood, Geranium and Peach","Rose, Orris Root, Sandalwood, Ylang-Ylang, Vetiver, Cedar and Lily-of-the-Valley","Iris, Musk, Heliotrope, Tonka Bean, Honey, Vanilla and Cinnamon","['powdery', 'iris', 'woody', 'rose', 'vanilla', 'sweet', 'musky', 'floral', 'earthy', 'aldehydic']",Spring,Night
Ombre Rose Parfum Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Honey, Peach, Palisander Rosewood and Ylang-Ylang","Rose, Iris and Lily-of-the-Valley","Vanilla, Musk, Coumarin and Sandalwood","['rose', 'powdery', 'sweet', 'honey', 'iris', 'vanilla', 'floral', 'woody', 'fruity', 'musky']",Spring,Night
Ombre Rubis Jean Charles Brosseaufor women,Jean Charles Brosseau,for women,"Rhubarb, Apple, Mimosa and Bergamot","Water Jasmine, Orange Blossom, Black Currant and Violet Leaf","Iris, Coconut, Madagascar Vanilla, Styrax and Cedar","['fruity', 'white floral', 'green', 'powdery', 'sweet', 'vanilla', 'woody', 'floral', 'aromatic', 'yellow floral']",Spring,Night
The Brun Jean Charles Brosseaufor men,Jean Charles Brosseau,for men,"Cardamom, Cinnamon, Pineapple, Melon and Bergamot","Lavender, Lily-of-the-Valley, Violet, Orange Blossom and Jasmine","Tea, Caraway, Musk, Amber and Vanilla","['white floral', 'warm spicy', 'fresh', 'aromatic', 'fresh spicy', 'green', 'sweet', 'powdery', 'fruity', 'lavender']",Spring,Night
Ajar Jardins d’Ecrivainsfor women and men,,for women and men,Pear and Bergamot,Orchid and Jasmine,"Sandalwood, Oakmoss and Incense","['floral', 'sweet', 'woody', 'fruity', 'powdery', 'white floral', 'citrus', 'mossy', 'aquatic', 'warm spicy']",All Season,Any
Gigi Jardins d’Ecrivainsfor women,,for women,Orange Blossom and Neroli,"Tuberose, Jasmine and Black Currant",White Musk and Sandalwood,"['white floral', 'tuberose', 'animalic', 'citrus']",Spring,Any
Junky Jardins d’Ecrivainsfor women and men,,for women and men,"cannabis, Galbanum and Palisander Rosewood","Iris, Gardenia and Violet","Moss, Incense, Cashmeran, Juniper, Myrtle, Vetiver and Cedar","['aromatic', 'woody', 'powdery', 'green', 'violet', 'earthy', 'cannabis', 'iris', 'amber', 'smoky']",Fall,Night
La Dame aux Camelias - Night Cologne Jardins d’Ecrivainsfor women,,for women,"Verbena, Orange Blossom and Cardamom","Rose, Iris and Camellia","Musk, Tonka Bean and Juniper","['powdery', 'floral', 'rose', 'citrus', 'aromatic', 'iris', 'musky', 'sweet', 'white floral', 'warm spicy']",Spring,Night
Marlowe Jardins d’Ecrivainsfor women,,for women,Tuberose and elemi,Osmanthus and Myrhh,"Labdanum, Musk, Leather and Oakmoss","['amber', 'floral', 'balsamic', 'aromatic', 'fruity', 'musky', 'tuberose', 'white floral', 'animalic', 'leather']",Spring,Night
Orlando Jardins d’Ecrivainsfor women and men,,for women and men,"Ginger, Pink Pepper and Orange","Cloves, Amber and Patchouli","Peru Balsam, Musk and Guaiac Wood","['amber', 'warm spicy', 'woody', 'balsamic', 'musky', 'powdery', 'citrus', 'patchouli', 'soft spicy']",Winter,Night
Peau d'Anne Jardins d’Ecrivainsfor women and men,,for women and men,Iris and Lime,"Carrot Seeds, Flour and Labdanum","Suede, Cedar and Patchouli","['powdery', 'musky', 'leather', 'woody', 'iris']",Fall,Night
Wilde Jardins d’Ecrivainsfor women and men,,for women and men,Grapes and Bergamot,"Tea, Fig and Carnation",Vetiver and Oakmoss,"['fruity', 'woody', 'aromatic', 'earthy', 'citrus', 'sweet', 'green', 'mossy', 'floral', 'fresh spicy']",Fall,Day
Alcools Jardins d’Ecrivainsfor women and men,,for women and men,Birch and Artemisia,Tonka Bean and Lilac,Styrax and Benzoin,"['amber', 'leather', 'vanilla', 'smoky', 'warm spicy', 'aromatic', 'herbal', 'woody', 'balsamic']",Winter,Night
Exil Jardins d’Ecrivainsfor women and men,,for women and men,Thyme and Eucalyptus,Clove and Amber,"Heliotrope, Musk and Cedar","['aromatic', 'woody', 'powdery', 'musky', 'fresh spicy', 'warm spicy', 'camphor', 'vanilla', 'amber', 'almond']",Winter,Night
Howl Jardins d’Ecrivainsfor women and men,,for women and men,Lavender and Thyme,"Geranium, Cinnamon and Tonka Bean","Musk, Patchouli and Amber","['aromatic', 'fresh spicy', 'lavender', 'warm spicy', 'amber', 'patchouli', 'musky', 'herbal', 'cinnamon', 'powdery']",Winter,Night
Loy Jardins d’Ecrivainsfor women and men,,for women and men,Jasmine and Vetiver,Rose and Gurjan balsam,Saffron and Sandalwood,"['woody', 'warm spicy', 'white floral', 'rose', 'aromatic', 'earthy', 'floral', 'metallic', 'powdery']",All Season,Any
Zorba Jardins d’Ecrivainsfor women and men,,for women and men,"Sea water, Wild Lavender, Juniper, Rosemary, Carob tree and Thyme","Sage, Labdanum and Cyclamen","Castoreum, Iris and Oakmoss","['aromatic', 'woody', 'fresh spicy', 'marine', 'lavender', 'herbal', 'amber']",Summer,Day
L'Eau de Taipi Jardins d’Ecrivainsfor women and men,,for women and men,"elemi, Bergamot and Tamarind","Coconut, Tiare Flower and Sea water",White Musk and Frangipani,"['coconut', 'musky', 'white floral', 'sweet', 'aromatic', 'tropical', 'powdery', 'marine', 'lactonic', 'floral']",Summer,Night
Splash Cologne Eau de Blixen Jardins d’Ecrivainsfor women and men,,for women and men,Vetiver,"Hyacinth, Osmanthus and Patchouli","Ambrette (Musk Mallow), Musk and Styrax","['floral', 'musky', 'woody', 'earthy', 'patchouli', 'amber', 'green', 'aromatic', 'fruity', 'fresh spicy']",Fall,Any
Ajar Jardins d’Ecrivainsfor women and men,,for women and men,Pear and Bergamot,Orchid and Jasmine,"Sandalwood, Oakmoss and Incense","['floral', 'sweet', 'woody', 'fruity', 'powdery', 'white floral', 'citrus', 'mossy', 'aquatic', 'warm spicy']",All Season,Any
Gigi Jardins d’Ecrivainsfor women,,for women,Orange Blossom and Neroli,"Tuberose, Jasmine and Black Currant",White Musk and Sandalwood,"['white floral', 'tuberose', 'animalic', 'citrus']",Spring,Any
Junky Jardins d’Ecrivainsfor women and men,,for women and men,"cannabis, Galbanum and Palisander Rosewood","Iris, Gardenia and Violet","Moss, Incense, Cashmeran, Juniper, Myrtle, Vetiver and Cedar","['aromatic', 'woody', 'powdery', 'green', 'violet', 'earthy', 'cannabis', 'iris', 'amber', 'smoky']",Fall,Night
La Dame aux Camelias - Night Cologne Jardins d’Ecrivainsfor women,,for women,"Verbena, Orange Blossom and Cardamom","Rose, Iris and Camellia","Musk, Tonka Bean and Juniper","['powdery', 'floral', 'rose', 'citrus', 'aromatic', 'iris', 'musky', 'sweet', 'white floral', 'warm spicy']",Spring,Night
Marlowe Jardins d’Ecrivainsfor women,,for women,Tuberose and elemi,Osmanthus and Myrhh,"Labdanum, Musk, Leather and Oakmoss","['amber', 'floral', 'balsamic', 'aromatic', 'fruity', 'musky', 'tuberose', 'white floral', 'animalic', 'leather']",Spring,Night
Orlando Jardins d’Ecrivainsfor women and men,,for women and men,"Ginger, Pink Pepper and Orange","Cloves, Amber and Patchouli","Peru Balsam, Musk and Guaiac Wood","['amber', 'warm spicy', 'woody', 'balsamic', 'musky', 'powdery', 'citrus', 'patchouli', 'soft spicy']",Winter,Night
Peau d'Anne Jardins d’Ecrivainsfor women and men,,for women and men,Iris and Lime,"Carrot Seeds, Flour and Labdanum","Suede, Cedar and Patchouli","['powdery', 'musky', 'leather', 'woody', 'iris']",Fall,Night
Wilde Jardins d’Ecrivainsfor women and men,,for women and men,Grapes and Bergamot,"Tea, Fig and Carnation",Vetiver and Oakmoss,"['fruity', 'woody', 'aromatic', 'earthy', 'citrus', 'sweet', 'green', 'mossy', 'floral', 'fresh spicy']",Fall,Day
Alcools Jardins d’Ecrivainsfor women and men,,for women and men,Birch and Artemisia,Tonka Bean and Lilac,Styrax and Benzoin,"['amber', 'leather', 'vanilla', 'smoky', 'warm spicy', 'aromatic', 'herbal', 'woody', 'balsamic']",Winter,Night
Exil Jardins d’Ecrivainsfor women and men,,for women and men,Thyme and Eucalyptus,Clove and Amber,"Heliotrope, Musk and Cedar","['aromatic', 'woody', 'powdery', 'musky', 'fresh spicy', 'warm spicy', 'camphor', 'vanilla', 'amber', 'almond']",Winter,Night
Howl Jardins d’Ecrivainsfor women and men,,for women and men,Lavender and Thyme,"Geranium, Cinnamon and Tonka Bean","Musk, Patchouli and Amber","['aromatic', 'fresh spicy', 'lavender', 'warm spicy', 'amber', 'patchouli', 'musky', 'herbal', 'cinnamon', 'powdery']",Winter,Night
Loy Jardins d’Ecrivainsfor women and men,,for women and men,Jasmine and Vetiver,Rose and Gurjan balsam,Saffron and Sandalwood,"['woody', 'warm spicy', 'white floral', 'rose', 'aromatic', 'earthy', 'floral', 'metallic', 'powdery']",All Season,Any
Zorba Jardins d’Ecrivainsfor women and men,,for women and men,"Sea water, Wild Lavender, Juniper, Rosemary, Carob tree and Thyme","Sage, Labdanum and Cyclamen","Castoreum, Iris and Oakmoss","['aromatic', 'woody', 'fresh spicy', 'marine', 'lavender', 'herbal', 'amber']",Summer,Day
L'Eau de Taipi Jardins d’Ecrivainsfor women and men,,for women and men,"elemi, Bergamot and Tamarind","Coconut, Tiare Flower and Sea water",White Musk and Frangipani,"['coconut', 'musky', 'white floral', 'sweet', 'aromatic', 'tropical', 'powdery', 'marine', 'lactonic', 'floral']",Summer,Night
Splash Cologne Eau de Blixen Jardins d’Ecrivainsfor women and men,,for women and men,Vetiver,"Hyacinth, Osmanthus and Patchouli","Ambrette (Musk Mallow), Musk and Styrax","['floral', 'musky', 'woody', 'earthy', 'patchouli', 'amber', 'green', 'aromatic', 'fruity', 'fresh spicy']",Fall,Any
Colonial Club Legend Jeanne Arthesfor men,Jeanne Arthes,for men,"Orange, Grapefruit and Lemon","Black Pepper, Vetiver, Geranium and Patchouli","Leather, Benzoin and Oakmoss","['citrus', 'fresh spicy', 'aromatic', 'warm spicy', 'earthy', 'woody', 'leather', 'amber', 'mossy', 'patchouli']",Fall,Any
Amore Mio Jeanne Arthesfor women,Jeanne Arthes,for women,Pear and Green Notes,"Lily-of-the-Valley, Jasmine, Rose and Violet","Cedar, Sandalwood, Musk and Oakmoss","['white floral', 'green', 'woody', 'fresh', 'fruity', 'powdery', 'sweet', 'rose', 'floral', 'aquatic']",Spring,Day
Amore Mio Dolce Paloma Jeanne Arthesfor women,Jeanne Arthes,for women,"Bergamot, Orange, Mandarin Orange and Red Berries","Cardamom, Black Currant, Cyclamen, Violet, Rose and Jasmine","Cedar, White Musk, Sandalowood, Vanilla and Amber","['citrus', 'woody', 'warm spicy', 'aromatic', 'fresh spicy', 'fruity', 'powdery', 'floral', 'musky']",Spring,Night
Amore Mio Eau de Parfum Jeanne Arthesfor women,Jeanne Arthes,for women,"Amalfi Lemon, Litchi and Black Currant","Cherry, White Flowers and Almond","Marzipan, Musk, Tonka Bean and Virginia Cedar","['fruity', 'sweet', 'citrus', 'nutty', 'almond', 'cherry', 'white floral', 'aromatic', 'fresh', 'tropical']",Summer,Any
Amore Mio Forbidden Fruit Jeanne Arthesfor women,Jeanne Arthes,for women,"Sorbet, Raspberry, Mandarin Orange and Cassis","Orange Blossom, Jasmine and Rose","Vanilla, Patchouli and Musk","['sweet', 'fruity', 'vanilla', 'white floral', 'citrus', 'powdery', 'musky', 'patchouli']",Spring,Night
Amore Mio Forever Jeanne Arthesfor women,Jeanne Arthes,for women,"Amalfi Lemon, Black Currant, Bergamot and Rose","Tropical Fruit, Peach, Jasmine and Cinnamon","Red Apple, Musk and Amber","['fruity', 'citrus', 'tropical', 'fresh', 'sweet']",Summer,Night
Amore Mio Garden of Delight Jeanne Arthesfor women,Jeanne Arthes,for women,,"Saffron, Blood Orange, Citruses, Jasmine and Lavender","Ambergris, Oakmoss and Cedar","['amber', 'citrus', 'woody', 'warm spicy', 'mossy', 'animalic', 'earthy', 'white floral', 'metallic', 'leather']",Fall,Night
Amore Mio Gold N' Roses Jeanne Arthesfor women,Jeanne Arthes,for women,"Star Anise, Bergamot and Orange","Marshmallow, Orange Blossom and Rose","Vanilla, Tonka Bean and Patchouli","['sweet', 'vanilla', 'anis', 'powdery', 'citrus', 'soft spicy', 'white floral', 'floral', 'rose', 'patchouli']",Spring,Night
Amore Mio I Love You Jeanne Arthesfor women,Jeanne Arthes,for women,"Pear, Pink Pepper and Grapefruit","Rose, Peony and Geranium","Musk, Vanilla and Tonka Bean","['rose', 'musky', 'sweet', 'vanilla', 'floral', 'fresh', 'fruity', 'powdery', 'soft spicy', 'aromatic']",Spring,Night
Amore Mio Passion Jeanne Arthesfor women,Jeanne Arthes,for women,"Raspberry, Peach Blossom and Mandarin Orange","Orchid, Jasmine and Peony","Cashmere Wood, Vanilla, White Musk and Patchouli","['floral', 'fruity', 'sweet', 'citrus', 'fresh', 'woody', 'musky', 'white floral', 'vanilla', 'powdery']",Spring,Night
Amore Mio Tropical Crush Jeanne Arthesfor women,Jeanne Arthes,for women,"Nectarine, Mango and Blood Orange","Raspberry, Milk, Apple and Lotus","Cacao, Musk and Sandalwood","['fruity', 'sweet', 'tropical', 'fresh', 'lactonic']",Summer,Night
Amore Mio White Pearl Jeanne Arthesfor women,Jeanne Arthes,for women,Red Pepper and Red Berries,Rose and Raspberry,"Vanilla, Benzoin, Musk and Patchouli","['fruity', 'rose', 'warm spicy', 'sweet', 'vanilla', 'amber', 'musky', 'powdery', 'fresh', 'patchouli']",Winter,Night
Arome Absolu Jeanne Arthesfor women,Jeanne Arthes,for women,"Peach, Plum, Mandarin Orange and Blackberry","Tuberose, Jasmine, Cinnamon, Coriander, Lily-of-the-Valley, Violet, Rose and Ginger","Vanilla, Sandalwood, Amber and Cedar","['white floral', 'fruity', 'vanilla', 'tuberose', 'powdery', 'sweet', 'warm spicy', 'woody', 'cinnamon', 'animalic']",Spring,Night
Arome Arthes Jeanne Arthesfor women,Jeanne Arthes,for women,"Plum, Peach, Mandarin Orange and Amalfi Lemon","Tuberose, Arum Lily, Jasmine, Cinnamon, Violet, Ginger, Lily-of-the-Valley, Rose, Coriander and Blackberry","Vanille, Sandalwood, Amber and Virginia Cedar","['white floral', 'fruity', 'tuberose', 'powdery', 'vanilla', 'warm spicy', 'sweet', 'woody']",Spring,Night
Arome Arthes Secret Jeanne Arthesfor women,Jeanne Arthes,for women,Green Notes,Violet and Iris,Heliotrope and Musk,"['powdery', 'violet', 'iris', 'floral', 'vanilla', 'musky']",Spring,Night
Arome Arthes Seduction Jeanne Arthesfor women,Jeanne Arthes,for women,"Coconut, Big Strawberry, Black Currant, Bergamot and Green Notes","White Honey, Jasmine, Rose, Orchid and Lily","Patchouli, Caramel, Vanille, Tonka Bean, Amber, Sandalwood and Musk","['sweet', 'vanilla', 'woody', 'honey', 'patchouli', 'caramel', 'floral', 'powdery', 'fruity', 'amber']",Spring,Night
Art S Jeanne Arthesfor women,Jeanne Arthes,for women,Plum and Geranium,"Jasmine, Orange Blossom, Orris Root and Rose","Benzoin, Mimosa, Patchouli, Vanilla and Musk","['white floral', 'powdery', 'sweet', 'amber', 'warm spicy', 'rose', 'fruity', 'vanilla', 'floral', 'fresh spicy']",Spring,Night
Arthes Love Never Dies Gold Jeanne Arthesfor women,Jeanne Arthes,for women,"Truffle, Blackberry and Grapefruit","Orchid, Gardenia and Lily-of-the-Valley","Mexican chocolate, Incense and Amber","['earthy', 'amber', 'sweet', 'chocolate', 'warm spicy', 'white floral', 'floral', 'animalic', 'smoky', 'fruity']",All Season,Night
Arthes You & Me Jeanne Arthesfor women,Jeanne Arthes,for women,Mandarin Orange and Amalfi Lemon,Freesia and Rose,"Raspberry, Vanille, Musk, Patchouli, Virginia Cedar and Vetyver","['citrus', 'fruity', 'sweet', 'vanilla', 'rose', 'woody', 'floral', 'powdery', 'musky', 'patchouli']",All Season,Night
Astronomy Jeanne Arthesfor women,Jeanne Arthes,for women,Bulgarian Rose,"Indonesian Patchouli Leaf, Bourbon Vanilla and Vetiver",Moss and Sandalwood,"['earthy', 'woody', 'mossy', 'patchouli', 'rose', 'warm spicy', 'balsamic', 'floral']",Fall,Night
Balade à Paris Café à Saint-Germain Jeanne Arthesfor women,Jeanne Arthes,for women,"Pear, Fig Leaf and Mandarin Orange","Caramel, Coffee blossom, Cedar and Jasmine","Vanilla, Raspberry and Musk","['caramel', 'sweet', 'fresh', 'woody', 'aquatic', 'green', 'fruity', 'vanilla']",All Season,Any
Balade à Paris Soirée Rooftop Jeanne Arthesfor women,Jeanne Arthes,for women,Pear and Pink Pepper,Coffee and Jasmine,"Sweet Notes, Spices and Floral Notes","['sweet', 'coffee', 'warm spicy', 'white floral', 'fruity', 'soft spicy', 'floral']",All Season,Night
Boum Jeanne Arthesfor women,Jeanne Arthes,for women,"Sugar Cane, Strawberry and Black Tea","Raspberry, Peony, Violet, Rose and Freesia","White Musk, Amber, Cedar and Sandalwood","['sweet', 'fruity', 'floral', 'rose', 'fresh', 'powdery', 'woody', 'violet', 'musky']",Spring,Night
Boum Be Different Jeanne Arthesfor women,Jeanne Arthes,for women,"Citruses, Blueberry, Orange, Black Currant, Mandarin Orange and Lavender","Jasmine, Apple Blossom, Ylang-Ylang, Peach, Freesia and Rose","Mahogany, Musk, Amber and Benzoin","['citrus', 'fruity', 'woody', 'floral', 'white floral', 'fresh', 'sweet', 'aromatic', 'yellow floral', 'fresh spicy']",Spring,Night
Boum Candy Land Jeanne Arthesfor women,Jeanne Arthes,for women,"Milk, Black Currant and Mandarin Orange","Toffee, Melon and Orange Blossom","Cotton Candy, Vanilla, Musk and Sandalwood","['sweet', 'caramel', 'lactonic', 'fruity', 'vanilla', 'powdery']",Winter,Night
Boum Catch Me Jeanne Arthesfor women,Jeanne Arthes,for women,"Pineapple, Mango, Black Currant and Red Apple",Freesia and Lily,"Musk, Sandalwood and Amber","['fruity', 'sweet', 'tropical']",Summer,Night
Boum Cherry Jeanne Arthesfor women,Jeanne Arthes,for women,"Cherry, Sweet Almond, Black Tea and Citruses","Blackberry, Peach, Honeysuckle, Freesia and Jasmine",Sandalwood and Musk,"['fruity', 'sweet', 'cherry', 'almond', 'nutty']",Summer,Any
Boum Do Brazil Jeanne Arthesfor women,Jeanne Arthes,for women,"Coconut Water, Tangerine and Tiare Flower","Biscuit, Coconut Milk and Heliotrope","Vanilla, Musk and Sandalwood","['sweet', 'vanilla', 'coconut', 'powdery', 'citrus', 'lactonic', 'white floral', 'tropical']",Summer,Night
Boum Green Tea Cherry Blossom Jeanne Arthesfor women,Jeanne Arthes,for women,"Tea, Lemon and Pear","Cherry Blossom, Black Currant and Rose",Peach and Musk,"['fruity', 'floral', 'fresh', 'green', 'citrus', 'rose', 'sweet', 'aromatic']",Spring,Day
Boum Honey Jeanne Arthesfor women,Jeanne Arthes,for women,White Honey,"Tea, Tonka Bean, Jasmine and Lily-of-the-Valley","Cinnamon, Amber, Musk, Sandalwood and Virginia Cedar","['honey', 'sweet', 'cinnamon', 'warm spicy', 'floral', 'amber', 'green']",All Season,Night
Boum Mango Jeanne Arthesfor women and men,Jeanne Arthes,for women and men,Mango and Passionfruit,"Lotus, Peach and Freesia",Musk,"['tropical', 'fruity', 'sweet', 'floral', 'aquatic']",Summer,Night
Boum Muscat Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Tea, Grapefruit and Lemon","Peach, Carnation, Apple, Lily-of-the-Valley and Rose","Musk, Amber, Freesia and Jasmine","['musky', 'fruity', 'powdery', 'green', 'fresh', 'sweet', 'floral', 'citrus']",Spring,Day
Boum Pour Homme Jeanne Arthesfor men,Jeanne Arthes,for men,Rosemary and Lemon,"Cloves, Tea, Cardamom, Nutmeg, Jasmine and Lily","Musk, Vanilla, Patchouli, Sandalwood and Cedar","['warm spicy', 'aromatic', 'woody', 'fresh spicy', 'musky', 'powdery', 'white floral', 'vanilla', 'patchouli', 'citrus']",Spring,Day
Boum Que Calor Jeanne Arthesfor women,Jeanne Arthes,for women,"Papaya, Pineapple and Mandarin Orange","Sweet Pea, Tea, Peach, Sugar, Jasmine, Hibiscus and Ginger","Coconut, Sandalwood, Woodsy Notes and Musk","['sweet', 'tropical', 'floral', 'fruity', 'fresh', 'green']",Summer,Day
Boum Savon Jeanne Arthesfor women,Jeanne Arthes,for women,Floral Notes and Almond,Water Lily and Lily-of-the-Valley,Musk and Jasmine,"['floral', 'white floral', 'fresh', 'musky', 'aquatic', 'powdery', 'green']",Spring,Day
Boum Sweet Lollipop Jeanne Arthesfor women,Jeanne Arthes,for women,"Gingerbread, Cinnamon and Orange",Ginger and Nutmeg,Cotton Candy and Vanilla,"['sweet', 'cinnamon', 'warm spicy', 'vanilla', 'caramel']",Winter,Night
Boum Vanille Sa Pomme d'Amour Jeanne Arthesfor women,Jeanne Arthes,for women,Orange,Praline and Red Apple,Vanilla and Musk,"['sweet', 'vanilla', 'fruity', 'lactonic', 'powdery', 'citrus']",Winter,Night
C'est la Fete! Jeanne Arthesfor women,Jeanne Arthes,for women,"Brown sugar, Black Currant, Mandarin Orange, Jasmine and Bergamot","Honey, Blackberry, Cinnamon, Forest Fruits, Iris, Red Rose and Orchid","Caramel, Dark Chocolate, Amber, Patchouli, Musk and Vanilla","['sweet', 'caramel', 'honey', 'warm spicy', 'fruity', 'chocolate', 'amber', 'floral', 'woody', 'powdery']",Winter,Night
Caliber 12 Jeanne Arthesfor men,Jeanne Arthes,for men,Ginger and Lemon,Juniper Berries and Cardamom,Tonka Bean and Haitian Vetiver,"['aromatic', 'warm spicy', 'woody', 'fresh spicy', 'vanilla']",All Season,Any
Candy Drops Honey Lemon Jeanne Arthesfor women,Jeanne Arthes,for women,Lemon and Mandarin Orange,"Honey, Black Currant and Watermelon",Vanilla,"['fruity', 'honey', 'vanilla', 'sweet', 'floral', 'ozonic', 'aquatic', 'citrus', 'soft spicy', 'powdery']",Summer,Any
Candy Drops Peach Sugar Jeanne Arthesfor women,Jeanne Arthes,for women,Pear and Apple,"Apricot, Peach, Sweet Notes and Rose","Praline, Vanilla and White Musk","['sweet', 'fruity', 'lactonic', 'powdery']",Winter,Night
Capricieuse Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Currant, Pineapple, Grapefruit and Lily-of-the-Valley",Orange Blossom and Jasmine,"Praline, Caramel, Vanila, Tonka Bean, Sandalwood and Cedar","['sweet', 'fruity', 'vanilla', 'white floral', 'woody', 'caramel', 'citrus', 'aromatic', 'powdery', 'fresh']",All Season,Any
